ID RA Dec EBV Gal_Long Gal_Lat Ecl_Long Ecl_Lat Entry
1 0.00000 89.00000 1.00000 122.68399 26.15312 87.50154 66.54179 0
2 60.00000 89.00000 1.00000 123.75061 26.44568 88.79918 65.69090 1
3 120.00000 89.00000 1.00000 124.00845 27.41886 91.22844 65.69068 2
4 180.00000 89.00000 1.00000 123.18422 28.10295 92.52700 66.54133 3
5 240.00000 89.00000 1.00000 122.10322 27.80602 91.31718 67.42237 4
6 300.00000 89.00000 1.00000 121.86106 26.82948 88.71245 67.42260 5
7 0.00000 88.00000 1.00000 122.44017 25.17756 84.99685 66.48176 6
8 30.00000 88.00000 1.00000 123.58332 25.21559 85.83347 65.50421 7
9 60.00000 88.00000 1.00000 124.55961 25.75850 87.66357 64.81109 8
10 90.00000 88.00000 1.00000 125.11393 26.66629 90.01324 64.56166 9
11 120.00000 88.00000 1.00000 125.09057 27.70116 92.36314 64.81067 10
12 150.00000 88.00000 1.00000 124.48106 28.58578 94.19389 65.50345 11
13 180.00000 88.00000 1.00000 123.44114 29.07717 95.03155 66.48084 12
14 210.00000 88.00000 1.00000 122.25787 29.03781 94.54446 67.49827 13
15 240.00000 88.00000 1.00000 121.26416 28.47878 92.71706 68.27176 14
16 270.00000 88.00000 1.00000 120.73250 27.55622 90.01556 68.56169 15
17 300.00000 88.00000 1.00000 120.79590 26.52269 87.31364 68.27226 16
18 330.00000 88.00000 1.00000 121.42288 25.65417 85.48517 67.49910 17
19 0.00000 87.00000 1.00000 122.20022 24.20162 82.50815 66.38189 18
20 20.00000 87.00000 1.00000 123.34042 24.15093 83.23315 65.38346 19
21 40.00000 87.00000 1.00000 124.43476 24.45065 84.66275 64.53576 20
22 60.00000 87.00000 1.00000 125.35927 25.06690 86.60009 63.92316 21
23 80.00000 87.00000 1.00000 126.00581 25.92947 88.84152 63.60249 22
24 100.00000 87.00000 1.00000 126.29327 26.93859 91.18407 63.60228 23
25 120.00000 87.00000 1.00000 126.17823 27.97500 93.42574 63.92255 24
26 140.00000 87.00000 1.00000 125.66372 28.91304 95.36360 64.53481 25
27 160.00000 87.00000 1.00000 124.80412 29.63579 96.79397 65.38223 26
28 180.00000 87.00000 1.00000 123.70296 30.05089 97.52000 66.38053 27
29 200.00000 87.00000 1.00000 122.50107 30.10432 97.37379 67.42038 28
30 220.00000 87.00000 1.00000 121.35555 29.78908 96.26070 68.37392 29
31 240.00000 87.00000 1.00000 120.41437 29.14632 94.22427 69.10849 30
32 260.00000 87.00000 1.00000 119.79337 28.25869 91.50396 69.50973 31
33 280.00000 87.00000 1.00000 119.56158 27.23767 88.52853 69.51001 32
34 300.00000 87.00000 1.00000 119.73649 26.20802 85.80754 69.10927 33
35 320.00000 87.00000 1.00000 120.28717 25.29229 83.76998 68.37507 34
36 340.00000 87.00000 1.00000 121.14227 24.59698 82.65559 67.42173 35
37 0.00000 86.00000 1.00000 121.96392 23.22530 80.04308 66.24270 36
38 14.40000 86.00000 1.00000 123.04877 23.12965 80.71589 65.27964 37
39 28.80000 86.00000 1.00000 124.12694 23.27707 81.87779 64.40792 38
40 43.20000 86.00000 1.00000 125.13664 23.65907 83.42929 63.67131 39
41 57.60000 86.00000 1.00000 126.01907 24.25358 85.27306 63.10409 40
42 72.00000 86.00000 1.00000 126.72109 25.02596 87.31573 62.73123 41
43 86.40000 86.00000 1.00000 127.19792 25.93064 89.46759 62.56850 42
44 100.80000 86.00000 1.00000 127.41581 26.91332 91.64122 62.62268 43
45 115.20000 86.00000 1.00000 127.35480 27.91372 93.74970 62.89150 44
46 129.60000 86.00000 1.00000 127.01120 28.86890 95.70467 63.36374 45
47 144.00000 86.00000 1.00000 126.39979 29.71708 97.41474 64.01904 46
48 158.40000 86.00000 1.00000 125.55483 30.40185 98.78451 64.82783 47
49 172.80000 86.00000 1.00000 124.52937 30.87651 99.71514 65.75111 48
50 187.20000 86.00000 1.00000 123.39227 31.10800 100.10793 66.74040 49
51 201.60000 86.00000 1.00000 122.22276 31.08001 99.87291 67.73814 50
52 216.00000 86.00000 1.00000 121.10314 30.79451 98.94495 68.67894 51
53 230.40000 86.00000 1.00000 120.11098 30.27160 97.30826 69.49291 52
54 244.80000 86.00000 1.00000 119.31214 29.54754 95.02549 70.11159 53
55 259.20000 86.00000 1.00000 118.75582 28.67147 92.25864 70.47706 54
56 273.60000 86.00000 1.00000 118.47209 27.70132 89.26331 70.55235 55
57 288.00000 86.00000 1.00000 118.47165 26.69946 86.34526 70.32958 56
58 302.40000 86.00000 1.00000 118.74714 25.72856 83.79285 69.83180 57
59 316.80000 86.00000 1.00000 119.27540 24.84788 81.81812 69.10770 58
60 331.20000 86.00000 1.00000 120.02011 24.11006 80.53221 68.22171 59
61 345.60000 86.00000 1.00000 120.93448 23.55851 79.95516 67.24398 60
62 0.00000 85.00000 1.00000 121.73105 22.24864 77.60878 66.06487 61
63 11.61290 85.00000 1.00000 122.81465 22.12939 78.31592 65.09763 62
64 23.22581 85.00000 1.00000 123.90252 22.20658 79.40822 64.20191 63
65 34.83871 85.00000 1.00000 124.95498 22.47738 80.81787 63.40577 64
66 46.45161 85.00000 1.00000 125.93326 22.93180 82.48124 62.73234 65
67 58.06452 85.00000 1.00000 126.80057 23.55297 84.33924 62.20002 66
68 69.67742 85.00000 1.00000 127.52312 24.31770 86.33666 61.82269 67
69 81.29032 85.00000 1.00000 128.07113 25.19707 88.42137 61.60991 68
70 92.90323 85.00000 1.00000 128.41995 26.15733 90.54317 61.56695 69
71 104.51613 85.00000 1.00000 128.55115 27.16092 92.65269 61.69485 70
72 116.12903 85.00000 1.00000 128.45373 28.16764 94.70031 61.99046 71
73 127.74194 85.00000 1.00000 128.12540 29.13610 96.63499 62.44641 72
74 139.35484 85.00000 1.00000 127.57364 30.02531 98.40320 63.05098 73
75 150.96774 85.00000 1.00000 126.81665 30.79651 99.94791 63.78808 74
